title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Back To December (Taylor's Version),Taylor Swift,2023,39228929,142,D,Major,50,20,64,1,0,12,3
Still With You,Jung Kook,2020,38411956,88,C-sharp,Minor,53,34,47,9,0,83,4
Auntie Diaries,Kendrick Lamar,2022,37778188,78,G,Major,43,60,38,76,1,48,38
Every Angel is Terrifying,The Weeknd,2022,37307967,118,unknown,Major,44,52,94,11,0,4,29
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future . Lil Uzi Vert),Future . Lil Uzi Vert . Metro Boomin,2023,37126685,135,A,Minor,77,28,55,18,0,22,15
Savior - Interlude,Kendrick Lamar,2022,37091576,118,F,Minor,66,83,43,84,0,19,19
Mine (Taylor's Version),Taylor Swift,2023,36912123,121,G,Major,65,49,78,0,0,17,4
Don't ever say love me (feat. RM of BTS),RM . Colde,2023,34502215,145,B,Minor,54,19,48,36,0,37,5
Born With A Beer In My Hand,Morgan Wallen,2023,34450974,148,unknown,Major,53,61,81,5,0,36,4
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar . Beth Gibbons,2022,33381454,140,G-sharp,Minor,49,50,37,87,0,11,35
Link Up (Metro Boomin & Don Toliver . Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse ),WizKid . Toian . Metro Boomin . Don Toliver . Beam,2023,32761689,101,F,Major,92,59,51,41,51,26,8
Phantom Regret by Jim,The Weeknd,2022,31959571,108,A,Minor,46,23,48,75,30,14,4
Mi Bello Angel,Natanael Cano,2023,31873544,128,A,Minor,81,90,77,1,0,9,5
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,30546883,78,unknown,Major,44,14,9,96,0,10,3
Better Than Revenge (Taylor's Version),Taylor Swift,2023,30343206,146,B,Minor,50,67,89,0,0,19,8
New Jeans,NewJeans,2023,29562220,134,E,Minor,81,53,72,51,0,12,5
Danger (Spider) (Offset & JID),Offset . JID,2023,24975653,143,B,Major,83,25,69,4,0,23,12
Rush,Troye Sivan,2023,22581161,126,F,Minor,74,35,84,0,0,11,6
S91,Karol G,2023,16011326,128,unknown,Minor,86,42,72,59,0,9,19
Overdrive,Post Malone,2023,14780425,140,C-sharp,Major,56,48,73,0,0,35,4
Gol Bolinha . Gol Quadrado 2,Mc Pedrinho . DJ 900,2023,11956641,133,B,Minor,93,68,65,42,0,12,25
QUEMA,Sog . Ryan Castro . Peso Pluma,2023,11599388,97,unknown,Major,79,92,89,5,0,6,5
Jhoome Jo Pathaan,Arijit Singh . Vishal Dadlani . Sukriti Kakar . Vishal-Shekhar . Shekhar Ravjiani . Kumaar,2022,1365184,105,G,Major,82,62,74,10,0,33,7
Que Vuelvas,Carin Leon . Grupo Frontera,2022,2762,162,A-sharp,Major,49,78,64,19,0,11,4
